user_id,signup_date,step_name,step_completed,timestamp,cohort_week,plan_type
1001,2025-06-21,Email Confirmed,True,2025-06-21 00:10:00,2025-06-16,free
1001,2025-06-21,Add Profile Info,True,2025-06-21 00:15:00,2025-06-16,paid
1001,2025-06-21,Connect Payment Method,False,,2025-06-16,paid
1002,2025-06-03,Email Confirmed,True,2025-06-03 00:03:00,2025-06-02,free
1002,2025-06-03,Add Profile Info,True,2025-06-03 00:12:00,2025-06-02,paid
1002,2025-06-03,Connect Payment Method,True,2025-06-03 00:31:00,2025-06-02,free
1002,2025-06-03,Invite Team Member,False,,2025-06-02,paid
1003,2025-06-18,Email Confirmed,True,2025-06-18 00:16:00,2025-06-16,paid
1003,2025-06-18,Add Profile Info,True,2025-06-18 00:18:00,2025-06-16,free
1003,2025-06-18,Connect Payment Method,False,,2025-06-16,trial
1004,2025-06-09,Email Confirmed,True,2025-06-09 00:12:00,2025-06-09,free
1004,2025-06-09,Add Profile Info,True,2025-06-09 00:17:00,2025-06-09,trial
1004,2025-06-09,Connect Payment Method,False,,2025-06-09,paid
1005,2025-06-09,Email Confirmed,True,2025-06-09 00:16:00,2025-06-09,paid
1005,2025-06-09,Add Profile Info,True,2025-06-09 00:30:00,2025-06-09,free
1005,2025-06-09,Connect Payment Method,True,2025-06-09 00:43:00,2025-06-09,paid
1005,2025-06-09,Invite Team Member,True,2025-06-09 00:47:00,2025-06-09,free
1005,2025-06-09,Complete Setup Tutorial,False,,2025-06-09,trial
1006,2025-06-03,Email Confirmed,True,2025-06-03 00:05:00,2025-06-02,trial
1006,2025-06-03,Add Profile Info,True,2025-06-03 00:18:00,2025-06-02,free
1006,2025-06-03,Connect Payment Method,True,2025-06-03 00:26:00,2025-06-02,paid
1006,2025-06-03,Invite Team Member,True,2025-06-03 00:30:00,2025-06-02,paid
1006,2025-06-03,Complete Setup Tutorial,False,,2025-06-02,paid
1007,2025-06-24,Email Confirmed,True,2025-06-24 00:16:00,2025-06-23,trial
1007,2025-06-24,Add Profile Info,True,2025-06-24 00:35:00,2025-06-23,free
1007,2025-06-24,Connect Payment Method,False,,2025-06-23,free
1008,2025-06-08,Email Confirmed,True,2025-06-08 00:12:00,2025-06-02,trial
1008,2025-06-08,Add Profile Info,True,2025-06-08 00:20:00,2025-06-02,paid
1008,2025-06-08,Connect Payment Method,False,,2025-06-02,trial
1009,2025-06-07,Email Confirmed,True,2025-06-07 00:14:00,2025-06-02,paid
1009,2025-06-07,Add Profile Info,True,2025-06-07 00:24:00,2025-06-02,free
1009,2025-06-07,Connect Payment Method,True,2025-06-07 00:43:00,2025-06-02,paid
1009,2025-06-07,Invite Team Member,True,2025-06-07 01:03:00,2025-06-02,trial
1009,2025-06-07,Complete Setup Tutorial,False,,2025-06-02,trial
1010,2025-06-12,Email Confirmed,True,2025-06-12 00:06:00,2025-06-09,paid
1010,2025-06-12,Add Profile Info,True,2025-06-12 00:09:00,2025-06-09,free
1010,2025-06-12,Connect Payment Method,True,2025-06-12 00:16:00,2025-06-09,paid
1010,2025-06-12,Invite Team Member,True,2025-06-12 00:20:00,2025-06-09,trial
